deck,h_mm,b_m,I_s,EI_s,m,delta,f1,pass_4hz,pass_3hz,note
ComFlor 210,290.0,3.0,83236958.16783412,17.479761215245166,450.45871559633036,0.26663202117630486,34.85911464777251,True,True,
ComFlor 210,290.0,4.0,83236958.16783412,17.479761215245166,450.45871559633036,0.8426888570510376,19.608251989372032,True,True,
ComFlor 210,290.0,5.0,83236958.16783412,17.479761215245166,450.45871559633036,2.0573458424097595,12.549281273198101,True,True,
ComFlor 210,320.0,5.0,119811506.3447639,25.16041633240042,523.8532110091743,1.6621858919180315,13.961520205448018,True,True,
ComFlor 210,321.0,5.0,121202681.56288952,25.452563128206798,526.2996941896024,1.650780762269744,14.009666775036584,True,True,
ComFlor 210,352.0,5.0,170471374.7550408,35.79898869855857,602.1406727828746,1.3428113700998365,15.533345428535135,True,True,
ComFlor 210,353.0,5.0,172270144.7259256,36.17673039244437,604.5871559633028,1.3341891607921716,15.583456789072399,True,True,
ComFlor 210,295.0,6.0,88671706.73491551,18.621058414332257,462.69113149847095,4.113387289577798,8.875088741323983,True,True,
ComFlor 210,298.0,6.0,92054237.64751777,19.33138990597873,470.0305810397554,4.025092110729973,8.971903494162465,True,True,
ComFlor 210,320.0,6.0,119811506.3447639,25.16041633240042,523.8532110091743,3.4467086654812302,9.695500142672234,True,True,
ComFlor 210,321.0,6.0,121202681.56288952,25.452563128206798,526.2996941896024,3.4230589886425413,9.728935260442071,True,True,
ComFlor 210,341.0,6.0,151577524.79170087,31.83128020625718,575.2293577981652,2.9915738350128063,10.406930207433673,True,True,
ComFlor 210,342.0,6.0,153228729.6454084,32.17803322553576,577.6758409785932,2.971922625902123,10.441280329019692,True,True,
ComFlor 210,329.0,7.0,132760362.95250918,27.87967622002693,545.8715596330275,6.00485727457054,7.345496572044204,True,True,
ComFlor 210,331.0,7.0,135771052.79163802,28.511921086243984,550.7645259938838,5.924332529244942,7.395248831454914,True,True,
ComFlor 210,362.0,7.0,189088588.34970915,39.70860355343893,626.6055045871559,4.839600788375167,8.182155627995918,True,True,
ComFlor 210,364.0,7.0,192982855.4650279,40.52639964765586,631.4984709480123,4.778969159519272,8.233896264008285,True,True,
ComFlor 210,427.0,7.0,348358768.2141489,73.15534132497126,785.6269113149848,3.293595480501911,9.918303100655075,True,True,
ComFlor 210,433.0,7.0,366816468.2748025,77.03145833770851,800.3058103975536,3.1863083194719826,10.083901767785045,True,True,
ComFlor 210,370.0,8.0,205017053.56026983,43.053581247656666,646.177370030581,7.852540722576967,6.423436075117731,True,True,
ComFlor 210,372.0,8.0,209147407.77712017,43.920955633195234,651.0703363914373,7.755751100792215,6.463393148321554,True,True,
ComFlor 225,283.0,3.0,58963033.09129547,12.38223694917205,456.3710499490316,0.38133949115032323,29.1485270573805,True,True,
ComFlor 225,290.0,3.0,64542026.38682327,13.553825541232886,473.49643221202854,0.3614494979735717,29.93978602362266,True,True,
ComFlor 225,291.0,3.0,65369334.497017816,13.727560244373741,475.94291539245677,0.35871894567122714,30.053520144073786,True,True,
ComFlor 225,283.0,4.0,58963033.09129547,12.38223694917205,456.3710499490316,1.2052211078331203,16.396046469776536,True,True,
ComFlor 225,293.0,4.0,67047131.133834876,14.079897538105325,480.835881753313,1.1167221416761222,17.03334494718677,True,True,
ComFlor 225,294.0,4.0,67897709.98008497,14.258519095817846,483.28236493374106,1.108343245685914,17.09760838940089,True,True,
ComFlor 225,283.0,5.0,58963033.09129547,12.38223694917205,456.3710499490316,2.9424343452957036,10.493469740656982,True,True,
ComFlor 225,287.0,5.0,62105923.24713396,13.04224388189813,466.1569826707441,2.853433014121581,10.655863883604136,True,True,
ComFlor 225,295.0,5.0,68756136.23830348,14.438788610043732,485.7288481141693,2.6856594634164326,10.98365879198847,True,True,
ComFlor 225,296.0,5.0,69622455.33862169,14.620715621110556,488.1753312945973,2.665600151237539,11.024908732116707,True,True,
ComFlor 225,303.0,5.0,75911527.38815781,15.94142075151314,505.3007135575943,2.5305253464942448,11.315328307235326,True,True,
ComFlor 225,300.0,6.0,73167572.53871863,15.365190233130912,497.9612640163099,5.365008421584809,7.771185952656802,True,True,
ComFlor 225,303.0,6.0,75911527.38815781,15.94142075151314,505.3007135575943,5.247297358490466,7.85786688002453,True,True,
ComFlor 225,323.0,6.0,96165509.51219952,20.194756997561903,554.2303771661568,4.543227482810356,8.444817406258615,True,True,
ComFlor 225,324.0,6.0,97271708.07931012,20.427058696655124,556.676860346585,4.511387389075748,8.474565574072264,True,True,
ComFlor 225,344.0,6.0,121404907.34672457,25.49503054281216,605.6065239551478,3.932310448957859,9.077131068604537,True,True,
ComFlor 225,346.0,6.0,124037090.29922695,26.047788962837657,610.4994903160041,3.879959836291227,9.138162783040013,True,True,
ComFlor 225,354.0,7.0,134983931.72250018,28.346625661725035,630.071355759429,6.81692184730653,6.894112206520485,True,True,
ComFlor 225,356.0,7.0,137827220.12482646,28.943716226213557,634.9643221202853,6.728139373977998,6.9394494327235074,True,True,
ComFlor 225,370.0,7.0,158970442.60020927,33.38379294604395,669.2150866462791,6.147945265013839,7.259513361722406,True,True,
ComFlor 225,374.0,7.0,165422634.27686638,34.73875319814194,679.0010193679918,5.994543919957713,7.351812661802322,True,True,
ComFlor 225,392.0,7.0,196846842.2199707,41.33783686619385,723.0377166156983,5.3643011725216745,7.771698226544963,True,True,
ComFlor 225,394.0,7.0,200588497.395463,42.12358445304723,727.9306829765545,5.299863121090195,7.818801335387405,True,True,
ComFlor 225,430.0,8.0,277206423.7159993,58.213348980359854,816.0040774719674,7.333942142331874,6.646664617526191,True,True,
ComFlor 225,437.0,8.0,294273612.8017711,61.79745868837193,833.1294597349643,7.053580237521205,6.777471493833964,True,True,
ComFlor 46 0.9,174.0,3.0,72149602.49541296,15.151416524036723,526.5035677879714,0.3595347622354625,30.01940371584365,True,True,
ComFlor 46 0.9,218.0,3.0,166146329.15749028,34.89072912307296,634.1488277268094,0.18805026728894367,41.5083554968172,True,True,
ComFlor 46 0.9,235.0,3.0,219357664.97156638,46.06510964402893,675.7390417940876,0.15177481376962831,46.203263327494234,True,True,
ComFlor 46 1.2,140.0,3.0,32275684.095678166,6.777893660092415,447.400611620795,0.6829589942898106,21.780868381984163,True,True,
ComFlor 46 1.2,168.0,3.0,63364507.90614562,13.30654666029058,515.9021406727828,0.40113889604648467,28.420068320666765,True,True,
ComFlor 46 1.2,179.0,3.0,80123135.91851223,16.82585854288757,542.8134556574922,0.33378450931254366,31.155836518675205,True,True,
ComFlor 51 0.9,105.0,3.0,6920352.914674783,1.4532741120817045,383.79204892966357,2.7323809076953762,10.88934817365781,True,True,
ComFlor 51 0.9,120.0,3.0,11342229.912365993,2.381868281596859,420.4892966360856,1.8265434621696492,13.318567000053815,True,True,
ComFlor 51 0.9,121.0,3.0,11695901.609887598,2.4561393380763956,422.93577981651373,1.7816165270685032,13.485448310609558,True,True,
ComFlor 51 0.9,128.0,3.0,14401400.351408068,3.024294073795694,440.06116207951067,1.5055037064519219,14.67004988252319,True,True,
ComFlor 51 0.9,129.0,3.0,14822100.857913947,3.112641180161929,442.5076452599387,1.4709046666477046,14.841583581699258,True,True,
ComFlor 51 0.9,122.0,4.0,12057553.83117671,2.532086304547109,425.38226299694185,5.493493636066231,7.679769621745269,True,True,
ComFlor 51 0.9,124.0,4.0,12805250.276989494,2.689102558167794,430.27522935779814,5.232228855409115,7.869173836042743,True,True,
ComFlor 51 0.9,146.0,4.0,23433297.296388764,4.92099243224164,484.0978593272171,3.2168307954070614,10.035947857716176,True,True,
ComFlor 51 0.9,147.0,4.0,24032667.317257304,5.0468601366240335,486.54434250764524,3.152455104619282,10.137901094842622,True,True,
ComFlor 51 0.9,153.0,4.0,27866737.718571417,5.852014920899998,501.22324159021406,2.80074473861378,10.75562719859325,True,True,
ComFlor 51 0.9,154.0,4.0,28546607.456769045,5.9947875659214995,503.6697247706422,2.7473867620642345,10.85956938365678,True,True,
ComFlor 51 0.9,125.0,5.0,13191521.333508037,2.770219480036688,432.7217125382262,12.470455386821003,5.097196175737681,True,True,
ComFlor 51 1.0,105.0,3.0,6920352.914674783,1.4532741120817045,384.8114169215086,2.7396382275033324,10.87491563163132,True,True,
ComFlor 51 1.0,120.0,3.0,11342229.912365993,2.381868281596859,421.50866462793067,1.8309714463203635,13.302452575519872,True,True,
ComFlor 51 1.0,121.0,3.0,11695901.609887598,2.4561393380763956,423.9551478083589,1.785910613660619,13.469226184792051,True,True,
ComFlor 51 1.0,128.0,3.0,14401400.351408068,3.024294073795694,441.0805300713557,1.508991090529874,14.653088320737881,True,True,
ComFlor 51 1.0,129.0,3.0,14822100.857913947,3.112641180161929,443.5270132517839,1.4742930671698142,14.824518400038913,True,True,
ComFlor 51 1.0,119.0,4.0,10996426.941034338,2.309249657617211,419.0621814475026,5.934106469662991,7.38915604314967,True,True,
ComFlor 51 1.0,121.0,4.0,11695901.609887598,2.4561393380763956,423.9551478083589,5.644359470334796,7.576439728945529,True,True,
ComFlor 51 1.0,146.0,4.0,23433297.296388764,4.92099243224164,485.1172273190622,3.223604496808213,10.02539813561839,True,True,
ComFlor 51 1.0,147.0,4.0,24032667.317257304,5.0468601366240335,487.5637104994902,3.1590598712327727,10.127297702029258,True,True,
